transaction_id,customer_id,product_id,Date,Quantity,Unit_Price,Total_Cost,Discount_Rate,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Item_Returned,Return_Reason
0,0,0,2020-01-01,3,120.43682132331526,8265.37454940804,0.2,High,WH-3,2-Day,Cancelled,False,Wrong Item
1,1,1,2020-01-02,6,475.7249935818949,4047.8504787607,0.0,Critical,WH-1,Overnight,Backorder,True,Damaged
2,2,2,2020-01-06,3,146.40055601470172,0.0,0.05,Critical,WH-1,Overnight,Pending,True,Damaged
3,3,3,2020-01-07,6,19.373193554270635,8194.281992877543,0.0,Medium,WH-1,Express,Pending,False,Wrong Item
4,4,4,2020-01-07,8,193.22131303627867,8331.32924886882,0.2,Low,WH-2,2-Day,Delivered,True,Late
5,5,5,2020-01-01,8,37.72697151189065,6894.375243656562,0.05,Medium,WH-3,2-Day,Backorder,True,Not Specified
6,6,6,2020-01-01,7,193.9797749485852,4611.329101247279,0.15,Critical,WH-3,Express,Cancelled,False,Late
7,7,7,2020-01-06,1,486.8076309770262,7623.669347238553,0.0,Critical,WH-2,Overnight,Delivered,True,Not Specified
8,8,8,2020-01-08,1,455.0319594631582,6194.880826757808,0.0,Medium,WH-1,Express,Delivered,True,Late
9,9,9,2020-01-06,8,339.62446716236,5933.960843694132,0.0,Critical,WH-3,Overnight,Pending,True,Late
10,10,10,2020-01-02,1,142.0608125232136,4697.420195618569,0.0,Medium,WH-2,Overnight,Delivered,False,Wrong Item
11,11,11,2020-01-07,8,426.6705205487488,5350.517195865819,0.0,Critical,WH-2,Regular,Cancelled,False,Not Specified
12,12,12,2020-01-06,4,144.29507877767358,980.913486556204,0.0,High,WH-3,Express,Backorder,False,Damaged
13,13,13,2020-01-08,9,159.05737262177763,5943.900905880649,0.1,Critical,WH-3,Express,Delivered,False,Wrong Item
14,14,14,2020-01-05,6,277.8227995958245,6757.282871927786,0.15,Medium,WH-1,Overnight,Delivered,True,Late
15,15,15,2020-01-05,9,38.343780229108695,4743.788008955943,0.0,Medium,WH-1,Regular,Pending,True,Late
16,16,16,2020-01-06,1,380.7977818635983,5013.353792234297,0.05,High,WH-2,Regular,Cancelled,False,Damaged
17,17,17,2020-01-05,4,331.7974475135879,9438.36161081244,0.0,Medium,WH-1,2-Day,Delivered,True,Late
18,18,18,2020-01-07,2,379.5816472442196,7036.432792204224,0.1,High,WH-1,Express,Backorder,True,Wrong Item
19,19,19,2020-01-02,9,0.0,6980.821047923439,0.05,Low,WH-1,Express,Cancelled,False,Damaged
20,20,20,2020-01-02,6,184.944378545306,5034.828782162813,0.2,Low,WH-1,Regular,Pending,False,Late
21,21,21,2020-01-02,9,160.81995752356536,7657.985051266169,0.0,Low,WH-3,Overnight,Backorder,False,Damaged
22,22,22,2020-01-06,2,191.84533983076264,3755.9437915651183,0.1,High,WH-1,Overnight,Delivered,False,Late
23,23,23,2020-01-08,1,47.71993886183348,881.3191613109819,0.0,Low,WH-3,Express,Delivered,False,Damaged
24,24,24,2020-01-03,4,0.0,6869.126171070717,0.2,High,WH-2,Overnight,Pending,True,Damaged
25,25,25,2020-01-09,9,344.4824383994672,7743.24610741125,0.2,High,WH-3,Overnight,Pending,False,Wrong Item
26,26,26,2020-01-02,5,345.86750277873176,6887.646511271185,0.05,Critical,WH-3,2-Day,Delivered,True,Damaged
27,27,27,2020-01-07,8,97.83409531224756,5671.2764325260505,0.0,Low,WH-2,Overnight,Pending,False,Not Specified
28,28,28,2020-01-04,3,47.09286638179586,6154.682460834315,0.05,High,WH-3,Regular,Pending,True,Not Specified
29,29,29,2020-01-02,8,373.5292002097704,7419.523116226637,0.05,Critical,WH-2,Regular,Backorder,False,Late
30,30,30,2020-01-01,8,202.01109286213276,3869.92128893702,0.1,High,WH-3,Regular,Pending,True,Not Specified
31,31,31,2020-01-05,1,38.465056519371394,4107.639467733516,0.15,High,WH-2,Regular,Backorder,True,Not Specified
32,32,32,2020-01-08,8,0.0,3135.9144573870635,0.1,Low,WH-2,Express,Delivered,True,Not Specified
33,33,33,2020-01-01,7,476.87935833122793,0.0,0.15,High,WH-2,Regular,Pending,True,Damaged
34,34,34,2020-01-06,3,278.7253898668457,6016.129646141524,0.05,Critical,WH-3,2-Day,Backorder,False,Late
35,35,35,2020-01-02,3,497.8592436544529,4293.659511892614,0.15,Medium,WH-1,2-Day,Cancelled,True,unkown
36,36,36,2020-01-04,6,343.01396304020284,1607.5392082791188,0.2,Low,WH-2,2-Day,Delivered,True,Not Specified
37,37,37,2020-01-03,6,323.83326066616354,4028.93899493158,0.15,Low,WH-1,2-Day,Backorder,True,Not Specified
38,38,38,2020-01-02,6,0.0,3887.663671868953,0.1,High,WH-2,Regular,Cancelled,True,Not Specified
39,39,39,2020-01-04,3,222.07984108263997,9349.77168594007,0.0,High,WH-1,Express,Cancelled,False,Not Specified
40,40,40,2020-01-07,3,0.0,2167.170460122895,0.0,Critical,WH-2,Regular,Delivered,True,Late
41,41,41,2020-01-01,4,42.34482362871837,5852.379462596614,0.05,Medium,WH-3,Regular,Backorder,True,Damaged
42,42,42,2020-01-06,5,473.7636914436987,2226.899238564938,0.15,Medium,WH-2,2-Day,Backorder,True,unkown
43,43,43,2020-01-09,8,139.3903724999222,0.0,0.2,Critical,WH-2,2-Day,Pending,True,Wrong Item
44,44,44,2020-01-08,7,361.0345848594685,3854.4774449147,0.05,Low,WH-3,Overnight,Cancelled,False,Not Specified
45,45,45,2020-01-08,4,163.26121471307349,4446.708505624851,0.05,High,WH-1,2-Day,Delivered,True,Wrong Item
46,46,46,2020-01-04,9,352.82338911483964,3876.6737049585863,0.05,Medium,WH-3,2-Day,Delivered,False,unkown
47,47,47,2020-01-09,6,110.29325343806914,8853.637048945504,0.2,Low,WH-1,Express,Pending,True,Damaged
48,48,48,2020-01-05,9,383.5282860054704,0.0,0.2,Low,WH-2,Regular,Pending,False,Damaged
49,49,49,2020-01-06,1,294.99492356470483,2925.695550750819,0.0,Medium,WH-2,2-Day,Delivered,False,Damaged
50,50,50,2020-01-05,9,239.86253341331357,5982.612282685112,0.2,Critical,WH-2,Regular,Cancelled,True,Damaged
51,51,51,2020-01-01,7,334.89312398367696,4253.975325986898,0.1,High,WH-1,Regular,Cancelled,False,Damaged
52,52,52,2020-01-06,7,389.9196136975364,6625.079861479777,0.05,Low,WH-1,Express,Pending,False,Wrong Item
53,53,53,2020-01-08,8,340.2571619914079,1274.9617933079762,0.1,Critical,WH-3,Express,Delivered,True,Late
54,54,54,2020-01-08,2,388.83951822014905,597.7027113890742,0.05,Low,WH-1,Overnight,Pending,False,Late
55,55,55,2020-01-02,7,474.0744268831744,6089.346099339957,0.05,High,WH-3,2-Day,Delivered,True,Late
56,56,56,2020-01-05,5,319.87174892090985,0.0,0.2,Critical,WH-1,Overnight,Backorder,True,Late
57,57,57,2020-01-06,9,276.68444339571187,6520.260197772526,0.05,Medium,WH-1,Express,Delivered,False,Damaged
58,58,58,2020-01-02,1,181.7550618002193,1261.7741897150763,0.1,Medium,WH-2,2-Day,Pending,False,Wrong Item
59,59,59,2020-01-01,1,451.4708388883293,9486.723453533194,0.1,Medium,WH-1,Regular,Delivered,False,Not Specified
60,60,60,2020-01-05,5,0.0,3481.841726892759,0.05,High,WH-2,2-Day,Cancelled,False,Damaged
61,61,61,2020-01-03,8,146.147860283959,1983.9143253406933,0.0,Low,WH-3,Express,Delivered,True,Not Specified
62,62,62,2020-01-05,8,391.76026733393553,9919.561370360172,0.05,Low,WH-3,Regular,Pending,False,Not Specified
63,63,63,2020-01-07,1,348.5331485099032,1829.8800788567476,0.0,Medium,WH-1,Overnight,Backorder,False,Late
64,64,64,2020-01-05,6,275.0434518806596,7684.411018513126,0.05,Low,WH-1,Express,Backorder,True,Wrong Item
65,65,65,2020-01-06,1,199.94791467326704,0.0,0.15,Medium,WH-3,2-Day,Cancelled,False,Late
66,66,66,2020-01-02,4,249.36286000335363,6140.916003462796,0.0,Low,WH-1,Express,Cancelled,False,Wrong Item
67,67,67,2020-01-04,9,36.77086580047643,5098.195438839339,0.0,Critical,WH-1,Regular,Backorder,True,Not Specified
68,68,68,2020-01-02,5,0.0,2750.777942018873,0.1,Low,WH-2,Regular,Cancelled,True,Late
69,69,69,2020-01-02,4,316.18830880742945,1962.04909459085,0.15,High,WH-2,Express,Pending,False,Late
70,70,70,2020-01-07,2,460.0289517512503,5018.163822309079,0.15,Medium,WH-3,2-Day,Backorder,False,Damaged
71,71,71,2020-01-06,7,316.0608835761205,1421.173874171535,0.0,Medium,WH-3,Regular,Cancelled,True,unkown
72,72,72,2020-01-08,4,341.2528811457483,8545.42863207505,0.2,High,WH-1,Express,Cancelled,True,Late
73,73,73,2020-01-08,8,322.4672409790084,5857.235884178425,0.1,Low,WH-1,Regular,Cancelled,True,Not Specified
74,74,74,2020-01-06,4,78.75901391482235,1318.255321104963,0.2,High,WH-2,Regular,Backorder,True,Wrong Item
75,75,75,2020-01-06,2,167.36945479161722,6072.927223694795,0.15,Medium,WH-1,Express,Cancelled,True,Damaged
76,76,76,2020-01-08,2,441.2768015815277,5262.118623944429,0.15,Low,WH-2,2-Day,Cancelled,True,unkown
77,77,77,2020-01-09,6,328.167939042672,622.5259630004916,0.0,High,WH-3,2-Day,Pending,False,unkown
78,78,78,2020-01-04,6,206.9247279464577,5968.137572080779,0.15,Low,WH-1,Regular,Cancelled,True,Not Specified
79,79,79,2020-01-05,5,400.3738846237724,8151.60712834987,0.05,High,WH-3,Regular,Delivered,False,Damaged
80,80,80,2020-01-08,6,356.78346163108847,0.0,0.15,Low,WH-3,Overnight,Cancelled,True,unkown
81,81,81,2020-01-02,9,64.38906840774428,1802.91063745106,0.05,High,WH-3,Regular,Backorder,True,Not Specified
82,82,82,2020-01-09,5,280.72547402986567,5893.409520345019,0.0,Low,WH-1,Express,Cancelled,False,Not Specified
83,83,83,2020-01-07,7,118.95703932660344,2304.3932963468287,0.0,Critical,WH-2,2-Day,Delivered,True,Late
84,84,84,2020-01-06,3,428.35461163528686,8109.3166538319665,0.05,Critical,WH-3,Regular,Delivered,False,Damaged
85,85,85,2020-01-07,1,498.6465709527653,3237.7529966155303,0.2,Low,WH-2,Regular,Cancelled,True,unkown
